trial,msg_len,flip_pos,beta,alpha,p_percent
545,128,25,90,32,50.0
546,128,45,96,30,53.333333333333336
547,128,97,87,39,48.333333333333336
548,128,110,96,35,53.333333333333336
549,128,26,78,32,43.333333333333336
550,128,31,94,29,52.22222222222223
551,128,19,91,32,50.55555555555556
552,128,108,87,24,48.333333333333336
553,128,10,92,45,51.11111111111111
554,128,89,93,32,51.66666666666667
555,128,27,83,31,46.111111111111114
556,128,70,90,27,50.0
557,128,40,89,33,49.44444444444444
558,128,12,84,26,46.666666666666664
559,128,84,92,26,51.11111111111111
560,128,62,85,35,47.22222222222222
561,128,36,84,30,46.666666666666664
562,128,15,84,31,46.666666666666664
563,128,34,87,31,48.333333333333336
564,128,3,91,29,50.55555555555556
565,128,46,88,35,48.888888888888886
566,128,83,81,33,45.0
567,128,6,85,34,47.22222222222222
568,128,88,97,29,53.888888888888886
569,128,10,95,29,52.77777777777778
570,128,87,87,31,48.333333333333336
571,128,121,87,43,48.333333333333336
572,128,61,83,28,46.111111111111114
573,128,104,83,36,46.111111111111114
574,128,22,90,28,50.0
575,128,25,87,29,48.333333333333336
576,128,68,91,25,50.55555555555556
577,128,112,87,33,48.333333333333336
578,128,6,84,22,46.666666666666664
579,128,19,81,24,45.0
580,128,4,98,31,54.44444444444444
581,128,70,89,34,49.44444444444444
582,128,115,86,29,47.77777777777778
583,128,59,96,28,53.333333333333336
584,128,80,96,24,53.333333333333336
585,128,117,97,22,53.888888888888886
586,128,46,93,35,51.66666666666667
587,128,112,99,29,55.00000000000001
588,128,19,87,23,48.333333333333336
589,128,75,100,33,55.55555555555556
590,128,111,87,31,48.333333333333336
591,128,23,77,31,42.77777777777778
592,128,102,88,27,48.888888888888886
593,128,106,80,35,44.44444444444444
594,128,11,98,36,54.44444444444444
595,128,26,95,27,52.77777777777778
596,128,126,84,29,46.666666666666664
597,128,65,76,29,42.22222222222222
598,128,21,84,31,46.666666666666664
599,128,111,84,32,46.666666666666664
600,128,56,91,30,50.55555555555556
601,128,96,81,38,45.0
602,128,65,103,33,57.22222222222222
603,128,72,78,30,43.333333333333336
604,128,2,89,21,49.44444444444444
605,128,65,86,26,47.77777777777778
606,128,126,85,23,47.22222222222222
607,128,19,94,24,52.22222222222223
608,128,79,80,34,44.44444444444444
609,128,11,95,28,52.77777777777778
610,128,114,92,32,51.11111111111111
611,128,56,80,30,44.44444444444444
