trial,msg_len,flip_pos,beta,alpha,p_percent
439,128,39,72,68,40.0
440,128,4,66,66,36.666666666666664
441,128,91,70,63,38.88888888888889
442,128,75,61,70,33.88888888888889
443,128,80,79,65,43.888888888888886
444,128,39,63,65,35.0
445,128,9,71,66,39.44444444444444
446,128,66,73,65,40.55555555555556
447,128,113,69,59,38.333333333333336
448,128,73,60,59,33.33333333333333
449,128,96,67,56,37.22222222222222
450,128,81,67,64,37.22222222222222
451,128,29,73,60,40.55555555555556
452,128,4,66,57,36.666666666666664
453,128,56,71,59,39.44444444444444
454,128,127,75,73,41.66666666666667
455,128,19,63,60,35.0
456,128,51,70,71,38.88888888888889
457,128,64,65,68,36.11111111111111
458,128,47,76,65,42.22222222222222
459,128,48,73,63,40.55555555555556
460,128,73,70,62,38.88888888888889
461,128,38,67,67,37.22222222222222
462,128,52,79,61,43.888888888888886
463,128,123,66,61,36.666666666666664
464,128,119,72,58,40.0
465,128,66,65,63,36.11111111111111
466,128,121,61,68,33.88888888888889
467,128,44,71,61,39.44444444444444
468,128,66,69,62,38.333333333333336
469,128,21,72,66,40.0
470,128,97,69,62,38.333333333333336
471,128,82,65,61,36.11111111111111
472,128,76,76,61,42.22222222222222
473,128,77,71,68,39.44444444444444
474,128,115,67,58,37.22222222222222
475,128,24,63,64,35.0
476,128,105,69,63,38.333333333333336
477,128,85,68,59,37.77777777777778
478,128,42,69,55,38.333333333333336
479,128,115,70,66,38.88888888888889
480,128,33,77,58,42.77777777777778
481,128,64,77,62,42.77777777777778
482,128,68,65,61,36.11111111111111
483,128,10,69,73,38.333333333333336
484,128,49,65,61,36.11111111111111
485,128,32,69,55,38.333333333333336
486,128,69,74,56,41.11111111111111
487,128,125,68,61,37.77777777777778
488,128,68,67,65,37.22222222222222
489,128,125,79,60,43.888888888888886
490,128,5,71,73,39.44444444444444
491,128,27,67,58,37.22222222222222
492,128,9,64,62,35.55555555555556
493,128,11,67,61,37.22222222222222
494,128,109,66,70,36.666666666666664
495,128,72,75,73,41.66666666666667
496,128,125,66,60,36.666666666666664
497,128,122,65,64,36.11111111111111
498,128,98,70,60,38.88888888888889
499,128,97,70,68,38.88888888888889
500,128,32,80,65,44.44444444444444
501,128,107,62,58,34.44444444444444
502,128,5,77,62,42.77777777777778
503,128,47,71,60,39.44444444444444
504,128,19,79,60,43.888888888888886
505,128,99,76,75,42.22222222222222
506,128,2,76,54,42.22222222222222
507,128,36,68,59,37.77777777777778
508,128,36,72,63,40.0
509,128,21,70,56,38.88888888888889
510,128,56,72,60,40.0
511,128,47,65,64,36.11111111111111
512,128,82,64,59,35.55555555555556
513,128,95,69,65,38.333333333333336
514,128,73,61,57,33.88888888888889
515,128,93,65,60,36.11111111111111
516,128,14,61,65,33.88888888888889
517,128,119,69,60,38.333333333333336
518,128,85,62,60,34.44444444444444
519,128,41,75,62,41.66666666666667
520,128,103,81,59,45.0
